10

0   22   23   14   4   4   14   16   13   22
22   0   17   4   6   13   9   12   21   9
23   17   0   3   8   13   4   1   22   10
14   4   3   0   15   1   12   23   0   19
4   6   8   15   0   4   18   11   10   24
4   13   13   1   4   0   0   8   11   18
14   9   4   12   18   0   0   23   3   9
16   12   1   23   11   8   23   0   18   18
13   21   22   0   10   11   3   18   0   2
22   9   10   19   24   18   9   18   2   0

0   43   34   71   40   45   48   47   32   74
43   0   61   34   11   2   13   10   19   31
34   61   0   37   50   63   48   51   42   40
71   34   37   0   31   36   23   24   39   11
40   11   50   31   0   13   8   7   8   34
45   2   63   36   13   0   15   12   21   29
48   13   48   23   8   15   0   3   16   26
47   10   51   24   7   12   3   0   15   27
32   19   42   39   8   21   16   15   0   42
74   31   40   11   34   29   26   27   42   0
