8

0   3   8   6   21   6   5   2
3   0   0   6   9   3   5   14
8   0   0   10   16   23   24   18
6   6   10   0   5   19   11   21
21   9   16   5   0   15   16   12
6   3   23   19   15   0   13   9
5   5   24   11   16  13   0   1
2   14   18   21   12   9   1   0

0   36   46   26   51   48   42   29
36   0   42   62   17   34   38   7
46   42   0   28   49   46   8   47
26   62   28   0   77   74   36   55
51   17   49   77   0   17   41   22
48   34   46   74   17   0   38   39
42   38   8   36   41   38   0   43
29   7   47   55   22   39   43   0
