17

0   6   5   15   4   12   10   10   3   9   24   11   0   20   17   4   12
6   0   21   18   23   8   15   18   16   25   3   19   23   20   8   6   17
5   21   0   25   10   20   5   3   7   17   23   4   19   20   1   18   6
15   18   25   0   1   18   23   1   23   16   7   24   20   20   14   2   19
4   23   10   1   0   14   3   3   6   12   13   11   11   10   15   14   15
12   8   20   18   14   0   9   14   19   6   6   0   17   1   24   5   2
10   15   5   23   3   9   0   15   18   8   22   12   9   21   4   22   0
10   18   3   1   3   14   15   0   17   4   5   16   19   4   10   6   24
3   16   7   23   6   19   18   17   0   14   15   7   25   7   10   24   23
9   25   17   16   12   6   8   4   14   0   16   24   12   11   0   10   23
24   3   23   7   13   6   22   5   15   16   0   10   1   1   11   1   9
11   19   4   24   11   0   12   16   7   24   10   0   1   13   22   4   12
0   23   19   20   11   17   9   19   25   12   1   1   0   14   19   19   16
20   20   20   20   10   1   21   4   7   11   1   13   14   0   20   23   19
17   8   1   14   15   24   4   10   10   0   11   22   19   20   0   3   14
4   6   18   2   14   5   22   6   24   10   1   4   19   23   3   0   0
12   17   6   19   15   2   0   24   23   23   9   12   16   19   14   0   0

0   42   22   21   33   20   15   23   26   16   9   29   19   10   24   35   48
42   0   26   25   75   42   51   27   34   26   33   71   23   52   18   39   24
22   26   0   3   55   42   31   1   14   26   23   51   5   32   14   13   26
21   25   3   0   52   41   28   4   11   25   22   48   4   29   13   14   29
33   75   55   52   0   33   24   56   41   49   42   4   52   23   57   46   81
20   42   42   41   33   0   35   43   46   16   19   29   37   16   28   55   48
15   51   31   28   24   35   0   32   17   25   18   20   28   19   33   22   57
23   27   1   4   56   43   32   0   15   27   24   52   6   33   15   12   25
26   34   14   11   41   46   17   15   0   30   27   37   11   30   18   9   40
16   26   26   25   49   16   25   27   30   0   7   45   21   26   12   39   32
9   33   23   22   42   19   18   24   27   7   0   38   18   19   15   36   39
29   71   51   48   4   29   20   52   37   45   38   0   48   19   53   42   77
19   23   5   4   52   37   28   6   11   21   18   48   0   29   9   18   29
10   52   32   29   23   16   19   33   30   26   19   19   29   0   34   39   58
24   18   14   13   57   28   33   15   18   12   15   53   9   34   0   27   24
35   39   13   14   46   55   22   12   9   39   36   42   18   39   27   0   35
48   24   26   29   81   48   57   25   40   32   39   77   29   58   24   35   0
