8

0   21   18   25   5   11   8   25
21   0   17   17   3   12   21   23
18   17   0   14   7   15   4   24
25   17   14   0   15   3   10   8
5   3   7   15   0   2   19   21
11   12   15   3   2   0   24   0
8   21   4  10   19   24   0   15
25   23   24   8   21   0   15   0

0   20   30   37   25   34   44   29
20   0   38   29   35   44   24   17
30   38   0   19   5   6   62   47
37   29   19   0   16   25   43   28
25   35   5   16   0   9   59   44
34   44   6   25   9   0   68   53
44   24   62   43   59   68   0   15
29   17   47   28   44   53   15   0
