9

0   7   10   11   7   12   18   9   16
7   0   15   15   5   25   5   9   23
10   15   0   19   8   16   24   16   16
11   15   19   0   21   19   0   2   8
7   5   8   21   0   5   21   6   17
12   25   16   19   5   0   14   25   14
18   5   24   0   21   14   0   5   24
9   9   16   2   6   25   5   0   18
16   23   16   8   17   14   24   18   0

0   57   38   13   28   31   6   53   30
57   0   19   54   29   26   51   22   53
38   19   0   35   28   11   32   25   56
13   54   35   0   25   28   9   50   43
28   29   28   25   0   17   22   25   28
31   26   11   28   17   0   25   22   45
6   51   32   9   22   25   0   47   34
53   22   25   50   25   22   47   0   31
30   53   56   43   28   45   34   31   0
