15

0   17   12   2   17   16   1   6   19   25   19   21   0   4   11
17   0   19   21   18   13   20   8   24   19   2   22   18   8   2
12   19   0   3   4   25   24   7   6   12   9   22   20   20   4
2   21   3   0   13   7   7   3   19   1   11   9   2   11   3
17   18   4   13   0   2   10   4   22   5   14   17   24   17   21
16   13   25   7   2   0   7   12   22   4   14   15   10   3   8
1   20   24   7   10   7   0   19   12   22   20   10   18   7   0
6   8   7   3   4   12   19   0   5   24   16   18   0   23   19
19   24   6   19   22   22   12   5   0   19   19   10   14   1   24
25   19   12   1   5   4   22   24   19   0   24   23   21   4   18
19   2   9   11   14   14   20   16   19   24   0   2   10   15   1
21   22   22   9   17   15   10   18   10   23   2   0   13   10   24
0   18   20   2   24   10   18   0   14   21   10   13   0   16   17
4   8   20   11   17   3   7   23   1   4   15   10   16   0   22
11   2   4   3   21   8   0   19   24   18   1   24   17   22   0

0   20   22   29   20   39   30   18   20   43   48   16   55   20   12
20   0   42   49   40   59   24   34   40   37   42   22   49   40   32
22   42   0   15   24   47   40   8   24   53   58   24   65   6   10
29   49   15   0   9   32   39   23   9   38   43   31   50   9   17
20   40   24   9   0   23   30   32   0   29   34   30   41   18   18
39   59   47   32   23   0   49   55   23   28   31   53   28   41   41
30   24   40   39   30   49   0   48   30   21   18   46   25   34   34
18   34   8   23   32   55   48   0   32   61   66   16   73   14   14
20   40   24   9   0   23   30   32   0   29   34   30   41   18   18
43   37   53   38   29   28   21   61   29   0   5   59   12   47   47
48   42   58   43   34   31   18   66   34   5   0   64   7   52   52
16   22   24   31   30   53   46   16   30   59   64   0   71   22   14
55   49   65   50   41   28   25   73   41   12   7   71   0   59   59
20   40   6   9   18   41   34   14   18   47   52   22   59   0   8
12   32   10   17   18   41   34   14   18   47   52   14   59   8   0
