11

0   9   16   11   25   15   17   4   3   15   18
9   0   14   1   9   17   23   5   20   7   4
16   14   0   13   25   21   21   24   16   8   8
11   1   13   0   10   14   18   20   4   21   0
25   9   25   10   0   25   11   6   0   24   0
15   17   21   14   25   0   0   0   11   1   7
17   23   21   18   11   0   0   13   20   16   16
4   5   24   20   6   0   13   0   25   20   15
3   20   16   4   0   11   20   25   0   18   9
15   7   8   21   24   1   16   20   18   0   8
18   4   8   0   0   7   16   15   9   8   0

0   32   29   5   27   9   16   65   22   45   66
32   0   37   35   11   23   44   39   46   13   34
29   37   0   32   26   20   37   36   9   28   37
5   35   32   0   30   12   21   68   25   48   69
27   11   26   30   0   18   35   38   35   18   39
9   23   20   12   18   0   25   56   27   36   57
16   44   37   21   35   25   0   73   30   53   74
65   39   36   68   38   56   73   0   43   30   19
22   46   9   25   35   27   30   43   0   37   44
45   13   28   48   18   36   53   30   37   0   21
66   34   37   69   39   57   74   19   44   21   0
