8

0   15   14   17   19   18   2   4
15   0   7   13   6   22   10   24
14   7   0   16   12   1   19   11
17   13   16   0   2   11   8   1
19   6   12   2   0   18   7   1
18   22   1   11   18   0   16   8
2   10   19  8   7   16   0   4
4   24   11   1   1   8   4   0

0   8   9   32   42   6   15   17
8   0   5   40   46   14   23   25
9   5   0   37   51   11   20   22
32  40   37   0   40   26   17   15
42   46   51   40   0   48   45   45
6   14   11   26   48   0   9   11
15   23   20   17   45   9   0   2
17   25   22   15   45   11   2   0
