18

0   18   20   1   13   11   18   24   2   8   15   5   15   17   14   0   13   22
18   0   22   8   12   2   5   17   9   3   19   1   19   15   4   7   1   7
20   22   0   11   9   6   16   12   16   1   12   23   4   5   11   12   10   14
1   8   11   0   16   13   5   18   14   6   0   19   4   25   25   17   25   23
13   12   9   16   0   6   21   2   5   12   6   3   24   7   5   8   1   20
11   2   6   13   6   0   1   22   8   14   0   19   0   7   2   11   23   15
18   5   16   5   21   1   0   22   3   5   14   22   1   2   12   8   11   20
24   17   12   18   2   22   22   0   10   25   0   18   16   6   5   5   6   0
2   9   16   14   5   8   3   10   0   13   16   4   9   14   3   5   16   20
8   3   1   6   12   14   5   25   13   0   12   1   25   6   4   20   0   8
15   19   12   0   6   0   14   0   16   12   0   12   16   13   13   24   5   22
5   1   23   19   3   19   22   18   4   1   12   0   14   23   4   2   18   0
15   19   4   4   24   0   1   16   9   25   16   14   0   21   1   0   11   7
17   15   5   25   7   7   2   6   14   6   13   23   21   0   5   18   7   9
14   4   11   25   5   2   12   5   3   4   13   4   1   5   0   12   3   11
0   7   12   17   8   11   8   5   5   20   24   2   0   18   12   0   8   12
13   1   10   25   1   23   11   6   16   0   5   18   11   7   3   8   0   24
22   7   14   23   20   15   20   0   20   8   22   0   7   9   11   12   24   0

0   35   66   40   20   18   34   28   10   29   41   34   41   43   36   29   33   24
35   0   31   5   45   45   59   53   25   36   56   49   28   68   47   54   56   49
66   31   0   28   54   76   62   48   56   37   27   32   25   57   30   51   33   76
40   5   28   0   44   50   58   52   30   35   55   48   27   67   46   53   55   50
20   45   54   44   0   22   14   8   24   17   29   22   29   23   24   9   21   22
18   45   76   50   22   0   16   28   22   39   51   44   51   25   46   25   43   6
34   59   62   58   14   16   0   14   38   25   37   30   37   9   32   11   29   14
28   53   48   52   8   28   14   0   32   17   23   16   25   15   18   3   15   28
10   25   56   30   24   22   38   32   0   19   35   28   31   47   26   33   35   28
29   36   37   35   17   39   25   17   19   0   20   13   12   32   11   18   20   39
41   56   27   55   29   51   37   23   35   20   0   7   28   32   9   26   8   51
34   49   32   48   22   44   30   16   28   13   7   0   21   25   2   19   7   44
41   28   25   27   29   51   37   25   31   12   28   21   0   40   19   26   28   51
43   68   57   67   23   25   9   15   47   32   32   25   40   0   27   14   24   19
36   47   30   46   24   46   32   18   26   11   9   2   19   27   0   21   9   46
29   54   51   53   9   25   11   3   33   18   26   19   26   14   21   0   18   25
33   56   33   55   21   43   29   15   35   20   8   7   28   24   9   18   0   43
24   49   76   50   22   6   14   28   28   39   51   44   51   19   46   25   43   0
