8

0   7   4   19   11   19   11   20
7   0   19   20   20   11   13   1
4   19   0   17   19   1   13   22
19   20   17   0   3   8   2   4
11   20   19   3   0   12   5   15
19   11   1   8   12   0   8   21
11   13   13   2   5   8   0   3
20   1   22   4   15   21   3   0

0   52   41   28   38   13   22   31
52   0   17   24   18   65   30   41
41   17   0   13   3   54   25   30
28   24   13   0   10   41   32   17
38   18   3   10   0   51   26   27
13   65   54   41   51   0   35   24
22   30   25   32   26   35   0   35
31   41   30   17   27   24   35   0
