18

0   1   22   23   13   14   0   3   3   20   6   1   5   4   0   13   23   3
1   0   12   10   11   22   2   17   0   6   12   19   20   8   21   9   8   16
22   12   0   24   0   20   9   4   14   17   20   11   19   16   18   16   6   2
23   10   24   0   12   19   24   11   4   1   8   25   14   17   11   3   18   6
13   11   0   12   0   15   5   25   14   0   4   11   20   0   12   25   0   11
14   22   20   19   15   0   14   21   7   18   24   0   10   14   18   17   14   22
0   2   9   24   5   14   0   20   6   24   24   19   21   16   17   21   0   21
3   17   4   11   25   21   20   0   24   14   20   3   7   1   12   2   16   19
3   0   14   4   14   7   6   24   0   12   24   9   20   22   3   4   4   0
20   6   17   1   0   18   24   14   12   0   19   20   20   22   7   25   6   7
6   12   20   8   4   24   24   20   24   19   0   7   11   3   20   1   15   19
1   19   11   25   11   0   19   3   9   20   7   0   10   2   13   16   7   2
5   20   19   14   20   10   21   7   20   20   11   10   0   16   12   17   9   2
4   8   16   17   0   14   16   1   22   22   3   2   16   0   1   9   9   12
0   21   18   11   12   18   17   12   3   7   20   13   12   1   0   5   17   23
13   9   16   3   25   17   21   2   4   25   1   16   17   9   5   0   5   12
23   8   6   18   0   14   0   16   4   6   15   7   9   9   17   5   0   0
3   16   2   6   11   22   21   19   0   7   19   2   2   12   23   12   0   0

0   41   18   39   44   10   13   37   15   31   18   18   17   32   27   24   24   22
41   0   27   80   11   31   28   28   56   20   59   59   40   37   68   21   61   49
18   27   0   57   38   14   7   55   33   13   36   36   35   50   45   42   42   26
39   80   57   0   83   49   52   66   24   70   21   21   40   43   16   59   21   31
44   11   38   83   0   34   31   17   59   31   62   62   43   40   71   24   64   52
10   31   14   49   34   0   7   41   25   21   28   28   21   36   37   28   30   18
13   28   7   52   31   7   0   48   28   18   31   31   28   43   40   35   35   21
37   28   55   66   17   41   48   0   42   48   49   45   26   23   54   13   47   59
15   56   33   24   59   25   28   42   0   46   7   13   22   37   24   35   29   17
31   20   13   70   31   21   18   48   46   0   49   49   30   43   58   35   51   39
18   59   36   21   62   28   31   49   7   49   0   20   29   44   31   38   36   10
18   59   36   21   62   28   31   45   13   49   20   0   19   24   11   38   16   30
17   40   35   40   43   21   28   26   22   30   29   19   0   15   28   19   21   39
32   37   50   43   40   36   43   23   37   43   44   24   15   0   31   16   24   54
27   68   45   16   71   37   40   54   24   58   31   11   28   31   0   47   7   41
24   21   42   59   24   28   35   13   35   35   38   38   19   16   47   0   40   46
24   61   42   21   64   30   35   47   29   51   36   16   21   24   7   40   0   46
22   49   26   31   52   18   21   59   17   39   10   30   39   54   41   46   46   0
